linajes	v3.1.16
A	1
A.28	38
AY.122	1
AY.43	53
AY.44	2
AY.61	1
AY.9.2	36
AY.94	66
AY.98.1	2
B.1.1.263	1
B.1.1.529	1
B.1.1.7	39
B.1.351	39
B.1.617.2	7
B.1.621	39
None	12
P.1	36
P.1.12	1
P.1.14	1
