n5	n6	n7	n8	n4	n2	lineage	version
COD	2131	5	NA	NA	_045512.2	P.1	v3.1.19
COD	2131	6	NA	NA	_045512.2	AY.9.2	v3.1.19
COD	2131	8	NA	NA	_045512.2	AY.94	v3.1.19
COD	2131	9	NA	NA	_045512.2	AY.94	v3.1.19
COD	2111	10	NA	NA	_045512.2	AY.43	v3.1.19
COD	2111	1	NA	NA	_045512.2	B.1.1.7	v3.1.19
COD	2111	2	NA	NA	_045512.2	B.1.351	v3.1.19
COD	2111	3	NA	NA	_045512.2	A.28	v3.1.19
COD	2111	4	NA	NA	_045512.2	B.1.621	v3.1.19
COD	2111	5	NA	NA	_045512.2	P.1	v3.1.19
COD	2111	6	NA	NA	_045512.2	AY.9.2	v3.1.19
COD	2111	8	NA	NA	_045512.2	AY.94	v3.1.19
COD	2111	9	NA	NA	_045512.2	AY.94	v3.1.19
COD	2106	Nanopore	10		_045512.2	AY.43	v3.1.19
COD	2106	Nanopore	1		_045512.2	B.1.1.7	v3.1.19
COD	2106	Nanopore	2		_045512.2	B.1.351	v3.1.19
COD	2106	Nanopore	3		_045512.2	A.28	v3.1.19
COD	2106	Nanopore	4		_045512.2	B.1.621	v3.1.19
COD	2106	Nanopore	5		_045512.2	P.1	v3.1.19
COD	2106	Nanopore	6		_045512.2	AY.9.2	v3.1.19
COD	2106	Nanopore	8		_045512.2	AY.94	v3.1.19
COD	2106	Nanopore	9		_045512.2	AY.94	v3.1.19
COD	2107	nanopore	10		_045512.2	AY.43	v3.1.19
COD	2107	nanopore	1		_045512.2	B.1.1.7	v3.1.19
COD	2107	nanopore	2		_045512.2	B.1.351	v3.1.19
COD	2107	nanopore	3		_045512.2	A.28	v3.1.19
COD	2107	nanopore	4		_045512.2	B.1.621	v3.1.19
COD	2107	nanopore	5		_045512.2	P.1	v3.1.19
COD	2107	nanopore	6		_045512.2	AY.9.2	v3.1.19
COD	2107	nanopore	8		_045512.2	AY.94	v3.1.19
COD	2107	nanopore	9		_045512.2	AY.94	v3.1.19
COD	2140	nanopore	10		_045512.2	AY.43	v3.1.19
COD	2140	nanopore	1		_045512.2	B.1.1.7	v3.1.19
COD	2140	nanopore	2		_045512.2	B.1.351	v3.1.19
COD	2140	nanopore	3		_045512.2	A.28	v3.1.19
COD	2140	nanopore	4		_045512.2	B.1.621	v3.1.19
COD	2140	nanopore	5		_045512.2	P.1	v3.1.19
COD	2140	nanopore	7		_045512.2	AY.43	v3.1.19
COD	2140	nanopore	8		_045512.2	AY.94	v3.1.19
COD	2140	nanopore	9		_045512.2	AY.94	v3.1.19
COD	2117	protocol2	7	NA	_045512.2	None	v3.1.19
COD	2106	Illumina	7	NA	_045512.2	None	v3.1.19
COD	2110	7	NA	NA	_045512.2	None	v3.1.19
COD	2113	7	NA	NA	_045512.2	None	v3.1.19
COD	2114	7	NA	NA	_045512.2	None	v3.1.19
COD	2121	7	NA	NA	_045512.2	None	v3.1.19
COD	2123	7	NA	NA	_045512.2	None	v3.1.19
COD	2125	7	NA	NA	_045512.2	None	v3.1.19
COD	2109	7	NA	NA	_045512.2	None	v3.1.19
COD	2117	7	NA	NA	_045512.2	None	v3.1.19
COD	2122	7	NA	NA	_045512.2	None	v3.1.19
COD	2129	7	NA	NA	_045512.2	None	v3.1.19
COD	2140	nanopore	6		_045512.2	None	v3.1.19
