id	Ct	tipo	plataforma
sample_5	NA	N	Ion Torrent
sample_5	NA	ORF	Ion Torrent
sample_5	NA	S	Ion Torrent
sample_5	36.03	PCR	Ion Torrent
sample_5	NA	N	Ion Torrent
sample_5	NA	ORF	Ion Torrent
sample_5	NA	S	Ion Torrent
sample_5	23.48	PCR	Ion Torrent
sample_5	NA	N	Ion Torrent
sample_5	NA	ORF	Ion Torrent
sample_5	NA	S	Ion Torrent
sample_5	25	PCR	Ion Torrent
sample_5	NA	N	Ion Torrent
sample_5	NA	ORF	Ion Torrent
sample_5	NA	S	Ion Torrent
sample_5	29.86	PCR	Ion Torrent
sample_5	NA	N	Ion Torrent
sample_5	NA	ORF	Ion Torrent
sample_5	NA	S	Ion Torrent
sample_5	NA	PCR	Nanopore
sample_5	17.9	N	Nanopore
sample_5	NA	ORF	Nanopore
sample_5	NA	S	Nanopore
sample_5	NA	PCR	Nanopore
sample_6	17.3	N	Nanopore
sample_6	NA	ORF	Nanopore
sample_6	NA	S	Nanopore
sample_6	NA	PCR	Nanopore
sample_6	21.1	N	Nanopore
sample_6	NA	ORF	Nanopore
sample_6	NA	S	Nanopore
sample_6	NA	PCR	Nanopore
sample_6	18.9	N	Nanopore
sample_6	NA	ORF	Nanopore
sample_6	NA	S	Nanopore
sample_6	NA	PCR	Nanopore
sample_6	19.8	N	Nanopore
sample_6	NA	ORF	Nanopore
sample_6	NA	S	Nanopore
sample_6	NA	PCR	Nanopore
sample_6	22.1	N	Nanopore
sample_6	NA	ORF	Nanopore
sample_6	NA	S	Nanopore
sample_6	NA	PCR	Nanopore
sample_6	25.5	N	Nanopore
sample_6	NA	ORF	Nanopore
sample_6	NA	S	Nanopore
sample_6	NA	PCR	Nanopore
sample_6	17.4	N	Nanopore
sample_6	NA	ORF	Nanopore
sample_6	NA	S	Nanopore
sample_6	NA	PCR	Nanopore
sample_6	19.8	N	Nanopore
sample_6	NA	ORF	Nanopore
sample_6	NA	S	Nanopore
sample_6	NA	PCR	Nanopore
sample_6	22.9	N	Nanopore
sample_6	NA	ORF	Nanopore
sample_6	NA	S	Nanopore
sample_6	NA	PCR	Illumina
sample_6	NA	N	Illumina
sample_6	NA	ORF	Illumina
sample_6	NA	S	Illumina
sample_6	NA	PCR	Illumina
sample_6	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	NA	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	NA	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	NA	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	NA	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	NA	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	NA	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	NA	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	NA	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	17.11	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_7	NA	S	Illumina
sample_7	18.4	PCR	Illumina
sample_7	NA	N	Illumina
sample_7	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	18.63	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	20.71	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	20.91	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	18.42	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	28.83	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	16.29	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	17.35	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	21.24	PCR	Illumina
sample_8	NA	N	Illumina
sample_8	NA	ORF	Illumina
sample_8	NA	S	Illumina
sample_8	17.11	PCR	Nanopore
sample_8	NA	N	Nanopore
sample_8	NA	ORF	Nanopore
sample_8	NA	S	Nanopore
sample_8	18.4	PCR	Nanopore
sample_8	NA	N	Nanopore
sample_8	NA	ORF	Nanopore
sample_8	NA	S	Nanopore
sample_9	18.63	PCR	Nanopore
sample_9	NA	N	Nanopore
sample_9	NA	ORF	Nanopore
sample_9	NA	S	Nanopore
sample_9	20.71	PCR	Nanopore
sample_9	NA	N	Nanopore
sample_9	NA	ORF	Nanopore
sample_9	NA	S	Nanopore
sample_9	20.91	PCR	Nanopore
sample_9	NA	N	Nanopore
sample_9	NA	ORF	Nanopore
sample_9	NA	S	Nanopore
sample_9	18.42	PCR	Nanopore
sample_9	NA	N	Nanopore
sample_9	NA	ORF	Nanopore
sample_9	NA	S	Nanopore
sample_9	28.83	PCR	Nanopore
sample_9	NA	N	Nanopore
sample_9	NA	ORF	Nanopore
sample_9	NA	S	Nanopore
sample_9	16.29	PCR	Nanopore
sample_9	NA	N	Nanopore
sample_9	NA	ORF	Nanopore
sample_9	NA	S	Nanopore
sample_9	17.35	PCR	Nanopore
sample_9	NA	N	Nanopore
sample_9	NA	ORF	Nanopore
sample_9	NA	S	Nanopore
sample_9	21.24	PCR	Nanopore
sample_9	NA	N	Nanopore
sample_9	NA	ORF	Nanopore
sample_9	NA	S	Nanopore
sample_9	21.53	PCR	Illumina
sample_9	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_9	NA	S	Illumina
sample_9	21.37	PCR	Illumina
sample_9	NA	N	Illumina
sample_9	NA	ORF	Illumina
sample_9	NA	S	Illumina
sample_9	21.62	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	NA	S	Illumina
sample_10	22.28	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	NA	S	Illumina
sample_10	19.08	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	NA	S	Illumina
sample_10	28.16	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	NA	S	Illumina
sample_10	33.17	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	NA	S	Illumina
sample_10	17.01	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	NA	S	Illumina
sample_10	24.95	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	NA	S	Illumina
sample_10	22.95	PCR	Illumina
sample_10	NA	N	Illumina
sample_10	NA	ORF	Illumina
sample_10	NA	S	Illumina
sample_10	20.9	PCR	Illumina
