grupo	muestra	v3.1.16	v3.1.17	v3.1.18	v3.1.19	v3.1.20
COD_2108	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2108	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2108	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2108	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2108	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2108	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2109	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2109	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2109	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2109	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2109	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2109	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2109	muestra 7	None	None	None	None	None
COD_2109	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2109	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2109	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2110	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2110	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2110	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2110	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2110	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2110	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2110	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2110	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2110	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2111	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2111	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2111	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2111	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2111	muestra 5	P.1.12	P.1.12	P.1	P.1	P.1
COD_2111	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2111	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2111	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2111	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2112	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2112	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2112	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2112	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2112	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2112	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2112	muestra 7	B.1.1.529	BA.1	BA.1.1	BA.1.1	BA.1.1
COD_2112	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2112	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2112	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2113	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2113	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2113	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2113	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2113	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2113	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2113	muestra 7	None	None	None	None	None
COD_2113	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2113	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2113	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2114	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2114	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2114	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2114	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2114	muestra 5	P.1	P.1.14	P.1	P.1	P.1
COD_2114	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2114	muestra 7	None	None	None	None	None
COD_2114	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2114	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2114	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2115	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2115	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2115	muestra 3	A	A.28	A.28	A.28	A.28
COD_2115	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2115	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2115	muestra 6	None	None	None	None	None
COD_2115	muestra 7	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2115	muestra 8	AY.98.1	AY.43	AY.43	AY.43	AY.43
COD_2115	muestra 9	AY.98.1	AY.43	AY.43	AY.43	AY.43
COD_2115	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2116	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2116	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2116	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2116	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2116	muestra 5	P.1.14	P.1	P.1	P.1	P.1
COD_2116	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2116	muestra 8	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2	B.1.617.2
COD_2116	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2116	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2117	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2117	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2117	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2117	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2117	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2117	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2117	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2117	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2117	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2117_protocol2	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2117_protocol2	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2117_protocol2	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2117_protocol2	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2117_protocol2	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2117_protocol2	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2117_protocol2	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2117_protocol2	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2117_protocol2	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2119	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2119	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2119	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2119	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2119	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2119	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2119	muestra 7	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2119	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2119	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2119	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2120	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2120	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2120	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2120	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2120	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2120	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2120	muestra 7	None	None	None	None	None
COD_2120	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2120	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2120	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2121	muestra 1	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7	B.1.1.7
COD_2121	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2121	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2121	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2121	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2121	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
COD_2121	muestra 8	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2121	muestra 9	AY.94	AY.94	AY.94	AY.94	AY.94
COD_2121	muestra 10	AY.43	AY.43	AY.43	AY.43	AY.43
COD_2122	muestra 1	B.1.1.7	Q.4	B.1.1.7	B.1.1.7	B.1.1.7
COD_2122	muestra 2	B.1.351	B.1.351	B.1.351	B.1.351	B.1.351
COD_2122	muestra 3	A.28	A.28	A.28	A.28	A.28
COD_2122	muestra 4	B.1.621	B.1.621	B.1.621	B.1.621	B.1.621
COD_2122	muestra 5	P.1	P.1	P.1	P.1	P.1
COD_2122	muestra 6	AY.9.2	AY.9.2	AY.9.2	AY.9.2	AY.9.2
